Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
IN,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB","17.429397999999996, 78.56935399999999",PM2.5,caaqm,µg/m³,24.05,2022-10-31T07:30:00+05:30,India
IN,,"IITH Kandi, Hyderabad - TSPCB","17.585705, 78.126199",PM2.5,caaqm,µg/m³,19.35,2022-10-31T07:30:00+05:30,India
IN,,"Bombay Castel, Ooty - TNPCB","11.4068288, 76.7138973",NO2,caaqm,µg/m³,1.27,2022-10-15T16:15:00+05:30,India
IN,,"Chalai Bazaar, Ramanathapuram - TNPCB","9.36399, 78.831977",O3,caaqm,µg/m³,13.83,2022-10-31T07:30:00+05:30,India
IN,,"PSG College of Arts and Science, Coimbatore - TNPCB","11.0328, 77.0349",SO2,caaqm,µg/m³,26.11,2022-10-13T22:15:00+05:30,India
IN,,"Ramteerth Nagar, Belgaum - KSPCB","15.888653, 74.541751",O3,caaqm,µg/m³,25.11,2022-10-31T07:15:00+05:30,India
IN,,"Income Tax Office, Delhi - CPCB","28.623499999999996, 77.2494",PM10,CPCB,µg/m³,312.0,2018-02-22T09:15:00+05:30,India
IN,,"Sector-6, Panchkula - HSPCB","30.7057778, 76.8531805555555",NO2,caaqm,µg/m³,23.34,2022-10-31T07:15:00+05:30,India
IN,,"Sector-6, Panchkula - HSPCB","30.7057778, 76.8531805555555",SO2,caaqm,µg/m³,4.93,2022-10-31T07:15:00+05:30,India
IN,,"Model Town, Patiala - PPCB","30.349388, 76.366642",CO,caaqm,µg/m³,2060.0,2022-10-31T07:15:00+05:30,India
IN,,"Tata Stadium, Jorapokhar - JSPCB","23.707909, 86.41467",O3,caaqm,µg/m³,14.42,2022-10-15T18:00:00+05:30,India
IN,,"BWSSB Kadabesanahalli, Bengaluru - CPCB","12.9352049, 77.6814488",SO2,caaqm,µg/m³,2.07,2022-08-02T10:45:00+05:30,India
IN,,"Ardhali Bazar, Varanasi - UPPCB","25.3505986, 82.9083074",PM2.5,caaqm,µg/m³,82.0,2022-10-31T07:30:00+05:30,India
IN,,"Lajpat Nagar, Moradabad - UPPCB","28.825341, 78.7213009",O3,caaqm,µg/m³,12.6,2022-01-13T11:15:00+05:30,India
IN,,"Asansol Court Area, Asansol - WBPCB","23.685297, 86.945968",PM10,caaqm,µg/m³,183.05,2022-10-31T07:15:00+05:30,India
IN,,"North Campus, DU, Delhi - IMD","28.6573814, 77.1585447",O3,caaqm,µg/m³,14.59,2022-06-22T07:45:00+05:30,India
IN,,"IDA Pashamylaram, Hyderabad - TSPCB","17.5316895, 78.21893899999999",PM10,caaqm,µg/m³,177.0,2022-10-31T07:30:00+05:30,India
IN,,"RIMT University, Mandi Gobindgarh - PPCB","30.649961, 76.331442",CO,caaqm,µg/m³,660.0,2022-10-31T07:30:00+05:30,India
IN,,"GVM Corporation, Visakhapatnam - APPCB","17.72, 83.3",SO2,caaqm,µg/m³,22.0,2022-10-31T07:30:00+05:30,India
IN,,"Maninagar, Ahmedabad - GPCB","23.002657, 72.591912",PM2.5,caaqm,µg/m³,43.94,2022-10-31T07:15:00+05:30,India
IN,,"Police Commissionerate, Jaipur - RSPCB","26.9164092, 75.7994901",PM10,caaqm,µg/m³,254.7,2022-10-31T07:15:00+05:30,India
IN,,"Indira Colony Vistar, Pali - RSPCB","25.771061, 73.34022700000001",PM10,caaqm,µg/m³,53.9,2022-10-31T07:15:00+05:30,India
IN,,"ICRISAT Patancheru, Hyderabad - TSPCB","17.4342359, 78.4170318",NO2,data.gov.in,µg/m³,3.8,2020-04-28T11:45:00+05:30,India
IN,,"Plammoodu, Thiruvananthapuram - Kerala PCB","8.5149093, 76.9435879",SO2,caaqm,µg/m³,8.0,2022-10-31T07:30:00+05:30,India
IN,,"IGSC Planetarium Complex, Patna - BSPCB","25.5941, 85.1376",SO2,caaqm,µg/m³,5.0,2022-10-31T07:30:00+05:30,India
IN,,"Vasundhara, Ghaziabad - UPPCB","28.6603346, 77.3572563",PM10,caaqm,µg/m³,293.0,2022-10-31T07:30:00+05:30,India
IN,,"Dr. Karni Singh Shooting Range, Delhi - DPCC","28.4997315, 77.2649067",NO2,caaqm,µg/m³,32.4,2018-05-09T16:30:00+05:30,India
IN,,"Borivali East, Mumbai - MPCB","19.2243333, 72.8658113",NO2,caaqm,µg/m³,11.5,2022-10-31T07:30:00+05:30,India
IN,,"Borivali East, Mumbai - MPCB","19.2243333, 72.8658113",PM10,caaqm,µg/m³,55.0,2022-10-31T07:30:00+05:30,India
IN,,"Udyogamandal, Eloor - Kerala PCB","10.073232000000003, 76.30276500000001",CO,caaqm,µg/m³,580.0,2022-10-31T07:15:00+05:30,India
IN,,"Jayanagar 5th Block, Bengaluru - KSPCB","12.920984000000002, 77.584908",O3,caaqm,µg/m³,31.28,2022-10-31T07:30:00+05:30,India
IN,,"Bapuji Nagar, Bengaluru - KSPCB","12.951913, 77.539784",PM10,caaqm,µg/m³,170.0,2022-10-31T07:30:00+05:30,India
IN,,"Knowledge Park - V, Greater Noida - UPPCB","28.557053999999997, 77.453663",O3,caaqm,µg/m³,4.43,2022-10-31T07:30:00+05:30,India
IN,,"Hebbal 1st Stage, Mysuru - KSPCB","12.3511441, 76.6249171",SO2,caaqm,µg/m³,5.49,2020-01-03T16:45:00+05:30,India
IN,,"Gole Bazar, Katni - MPPCB","23.833778, 80.39122199999998",NO2,caaqm,µg/m³,34.0,2020-01-07T14:45:00+05:30,India
IN,,"DRM Office Danapur, Patna - BSPCB","25.586562, 85.043586",O3,caaqm,µg/m³,46.75,2022-10-16T21:30:00+05:30,India
IN,,"Pallavpuram Phase 2, Meerut - UPPCB","29.063510000000004, 77.709723",PM2.5,caaqm,µg/m³,122.0,2022-10-16T21:30:00+05:30,India
IN,,"Okhla Phase-2, Delhi - DPCC","28.530785000000005, 77.271255",O3,caaqm,µg/m³,6.7,2022-10-31T06:15:00+05:30,India
IN,,"Anand Vihar, Hapur - UPPCB","28.725644999999997, 77.74967500000001",SO2,caaqm,µg/m³,29.2,2022-10-31T07:30:00+05:30,India
IN,,"Wazirpur, Delhi - DPCC","28.699793, 77.165453",PM2.5,caaqm,µg/m³,210.0,2022-10-31T06:15:00+05:30,India
IN,,"Vyttila, Kochi - Kerala PCB","9.969447, 76.321186",SO2,caaqm,µg/m³,0.0,2022-10-16T21:30:00+05:30,India
IN,,"Sri Aurobindo Marg, Delhi - DPCC","28.531345999999996, 77.190156",SO2,caaqm,µg/m³,3.8,2022-10-31T06:15:00+05:30,India
IN,,"Mundka, Delhi - DPCC","28.684678, 77.076574",PM10,caaqm,µg/m³,313.0,2022-10-31T06:15:00+05:30,India
IN,,"Govt. High School Shikarpur, Patna - BSPCB","25.592539, 85.22715800000002",O3,caaqm,µg/m³,26.13,2022-10-16T21:15:00+05:30,India
IN,,"Mini Secretariat, Charkhi Dadri - HSPCB","28.593883, 76.270653",SO2,caaqm,µg/m³,10.69,2022-10-16T21:30:00+05:30,India
IN,,"Manali Village, Chennai - TNPCB","13.166200000000002, 80.2584",PM10,caaqm,µg/m³,26.87,2022-10-31T07:30:00+05:30,India
IN,,"Rohini, Delhi - DPCC","28.732528, 77.11992",O3,caaqm,µg/m³,3.0,2022-10-31T06:15:00+05:30,India
IN,,"Palayam, Kozhikode - Kerala PCB","11.249077, 75.78437099999998",NO2,caaqm,µg/m³,17.5,2022-10-16T10:15:00+05:30,India
IN,,"PWD Juction, Kohima - NPCB","25.663541299999995, 94.09898780000002",CO,caaqm,µg/m³,340.0,2022-10-16T21:30:00+05:30,India
IN,,"Railway Colony, Guwahati - PCBA","26.181741999999996, 91.78062999999999",O3,caaqm,µg/m³,24.43,2022-10-31T07:15:00+05:30,India
IN,,"Rabindra Sarobar, Kolkata - WBPCB","22.51106, 88.35142",O3,caaqm,µg/m³,7.5,2022-10-31T07:15:00+05:30,India
IN,,"Murthal, Sonipat - HSPCB","29.027199999999997, 77.0621",SO2,caaqm,µg/m³,15.8,2022-10-16T21:30:00+05:30,India
IN,,"Sector-12, Karnal - HSPCB","29.6953, 77.0027",CO,caaqm,µg/m³,1710.0,2022-10-31T07:00:00+05:30,India
IN,,"Sector-12, Karnal - HSPCB","29.6953, 77.0027",SO2,caaqm,µg/m³,8.02,2022-10-31T07:00:00+05:30,India
IN,,"Marhatal, Jabalpur - MPPCB","23.168606, 79.932247",PM10,caaqm,µg/m³,91.0,2022-10-16T21:30:00+05:30,India
IN,,"Polayathode, Kollam - Kerala PCB","8.8787, 76.6073",NO2,caaqm,µg/m³,5.1,2022-10-16T21:15:00+05:30,India
IN,,"Sector-19A Nerul, Navi Mumbai - IITM","19.044, 73.03250000000001",SO2,caaqm,µg/m³,1.31,2022-10-16T21:30:00+05:30,India
IN,,"Chakala-Andheri East, Mumbai - IITM","19.110739999999996, 72.86084",O3,caaqm,µg/m³,11.0,2022-10-16T18:30:00+05:30,India
IN,,"Kadri, Mangalore - KSPCB","12.889250000000002, 74.853",NO2,caaqm,µg/m³,47.8,2022-10-31T07:15:00+05:30,India
IN,,"Tamaka Ind. Area, Kolar - KSPCB","13.1276288, 78.1570122",O3,caaqm,µg/m³,5.12,2022-10-31T07:30:00+05:30,India
IN,,"Devaraj Urs Badavane, Davanagere - KSPCB","14.475799999999998, 75.9052",NO2,caaqm,µg/m³,8.77,2022-10-16T18:30:00+05:30,India
IN,,"MIT-Kothrud, Pune - IITM","18.517754, 73.8214883",NO2,caaqm,µg/m³,11.64,2022-07-11T10:45:00+05:30,India
IN,,"Siddharth Nagar-Worli, Mumbai - IITM","19.000083, 72.813993",NO2,caaqm,µg/m³,45.37,2022-10-16T21:30:00+05:30,India
IN,,"Chandkheda, Ahmedabad - IITM","23.107969, 72.57464800000001",CO,caaqm,µg/m³,320.0,2022-10-16T21:15:00+05:30,India
IN,,"SAC ISRO Bopal, Ahmedabad - IITM","23.041136999999996, 72.45669099999999",O3,caaqm,µg/m³,8.03,2022-06-22T14:15:00+05:30,India
IN,,"SAC ISRO Bopal, Ahmedabad - IITM","23.041136999999996, 72.45669099999999",CO,caaqm,µg/m³,0.0,2022-06-22T14:15:00+05:30,India
IN,,"Shahjahan Garden, Agra - UPPCB","27.169338, 78.03582",NO2,caaqm,µg/m³,62.47,2022-10-31T07:30:00+05:30,India
IN,,"Dangi Tola, Rajgir - BSPCB","25.032800000000005, 85.41948000000001",PM2.5,caaqm,µg/m³,57.0,2022-10-16T21:15:00+05:30,India
IN,,"Buddhi Vihar, Moradabad - UPPCB","28.83526, 78.7446",CO,caaqm,µg/m³,2090.0,2022-10-16T21:30:00+05:30,India
IN,,"Buddhi Vihar, Moradabad - UPPCB","28.83526, 78.7446",PM10,caaqm,µg/m³,143.55,2022-10-16T21:30:00+05:30,India
IN,,"Sector-53, Chandigarh - CPCC","30.719858999999996, 76.738637",PM10,caaqm,µg/m³,94.0,2022-10-31T07:15:00+05:30,India
IN,,"DRCC Anandpur, Begusarai - BSPCB","25.444266, 86.140169",PM10,caaqm,µg/m³,510.0,2022-10-31T07:15:00+05:30,India
