DIM_GHECAUSE_CODE,DIM_GHECAUSE_TITLE,VAL_DALY_RATE100K_NUMERIC,VAL_DTHS_RATE100K_NUMERIC,year
1130,Ischaemic heart disease,3158.58,104.13,2010
500,Preterm birth complications,3016.86,27.8,2010
30,Tuberculosis,2421.78,56.57,2010
110,Diarrhoeal diseases,2396.09,53.78,2010
390,Lower respiratory infections,2271.16,36.78,2010
1180,Chronic obstructive pulmonary disease,1589.85,61.76,2010
1530,Road injury,1557.43,26.86,2010
510,Birth asphyxia and birth trauma,1525.5,16.08,2010
1140,Stroke,1342.24,45.67,2010
1230,Cirrhosis of the liver,1199.91,28.4,2010
