country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude
IN,"nacharam_tsiic iala, hyderabad - tspcb",pm2.5,caaqm,µg/m³,24.05,2022-10-31 07:30:00+05:30,india,17.429397999999996,78.56935399999999
IN,"iith kandi, hyderabad - tspcb",pm2.5,caaqm,µg/m³,19.35,2022-10-31 07:30:00+05:30,india,17.585705,78.126199
IN,"bombay castel, ooty - tnpcb",no2,caaqm,µg/m³,1.27,2022-10-15 16:15:00+05:30,india,11.4068288,76.7138973
IN,"chalai bazaar, ramanathapuram - tnpcb",o3,caaqm,µg/m³,13.83,2022-10-31 07:30:00+05:30,india,9.36399,78.831977
IN,"psg college of arts and science, coimbatore - tnpcb",so2,caaqm,µg/m³,26.11,2022-10-13 22:15:00+05:30,india,11.0328,77.0349
IN,"ramteerth nagar, belgaum - kspcb",o3,caaqm,µg/m³,25.11,2022-10-31 07:15:00+05:30,india,15.888653,74.541751
IN,"income tax office, delhi - cpcb",pm10,cpcb,µg/m³,312.0,2018-02-22 09:15:00+05:30,india,28.623499999999996,77.2494
IN,"sector-6, panchkula - hspcb",no2,caaqm,µg/m³,23.34,2022-10-31 07:15:00+05:30,india,30.7057778,76.8531805555555
IN,"sector-6, panchkula - hspcb",so2,caaqm,µg/m³,4.93,2022-10-31 07:15:00+05:30,india,30.7057778,76.8531805555555
IN,"model town, patiala - ppcb",co,caaqm,µg/m³,2060.0,2022-10-31 07:15:00+05:30,india,30.349388,76.366642
IN,"tata stadium, jorapokhar - jspcb",o3,caaqm,µg/m³,14.42,2022-10-15 18:00:00+05:30,india,23.707909,86.41467
IN,"bwssb kadabesanahalli, bengaluru - cpcb",so2,caaqm,µg/m³,2.07,2022-08-02 10:45:00+05:30,india,12.9352049,77.6814488
IN,"ardhali bazar, varanasi - uppcb",pm2.5,caaqm,µg/m³,82.0,2022-10-31 07:30:00+05:30,india,25.3505986,82.9083074
IN,"lajpat nagar, moradabad - uppcb",o3,caaqm,µg/m³,12.6,2022-01-13 11:15:00+05:30,india,28.825341,78.7213009
IN,"asansol court area, asansol - wbpcb",pm10,caaqm,µg/m³,183.05,2022-10-31 07:15:00+05:30,india,23.685297,86.945968
IN,"north campus, du, delhi - imd",o3,caaqm,µg/m³,14.59,2022-06-22 07:45:00+05:30,india,28.6573814,77.1585447
IN,"ida pashamylaram, hyderabad - tspcb",pm10,caaqm,µg/m³,177.0,2022-10-31 07:30:00+05:30,india,17.5316895,78.21893899999999
IN,"rimt university, mandi gobindgarh - ppcb",co,caaqm,µg/m³,660.0,2022-10-31 07:30:00+05:30,india,30.649961,76.331442
IN,"gvm corporation, visakhapatnam - appcb",so2,caaqm,µg/m³,22.0,2022-10-31 07:30:00+05:30,india,17.72,83.3
IN,"maninagar, ahmedabad - gpcb",pm2.5,caaqm,µg/m³,43.94,2022-10-31 07:15:00+05:30,india,23.002657,72.591912
IN,"police commissionerate, jaipur - rspcb",pm10,caaqm,µg/m³,254.7,2022-10-31 07:15:00+05:30,india,26.9164092,75.7994901
IN,"indira colony vistar, pali - rspcb",pm10,caaqm,µg/m³,53.9,2022-10-31 07:15:00+05:30,india,25.771061,73.34022700000001
IN,"icrisat patancheru, hyderabad - tspcb",no2,data.gov.in,µg/m³,3.8,2020-04-28 11:45:00+05:30,india,17.4342359,78.4170318
IN,"plammoodu, thiruvananthapuram - kerala pcb",so2,caaqm,µg/m³,8.0,2022-10-31 07:30:00+05:30,india,8.5149093,76.9435879
IN,"igsc planetarium complex, patna - bspcb",so2,caaqm,µg/m³,5.0,2022-10-31 07:30:00+05:30,india,25.5941,85.1376
IN,"vasundhara, ghaziabad - uppcb",pm10,caaqm,µg/m³,293.0,2022-10-31 07:30:00+05:30,india,28.6603346,77.3572563
IN,"dr. karni singh shooting range, delhi - dpcc",no2,caaqm,µg/m³,32.4,2018-05-09 16:30:00+05:30,india,28.4997315,77.2649067
IN,"borivali east, mumbai - mpcb",no2,caaqm,µg/m³,11.5,2022-10-31 07:30:00+05:30,india,19.2243333,72.8658113
IN,"borivali east, mumbai - mpcb",pm10,caaqm,µg/m³,55.0,2022-10-31 07:30:00+05:30,india,19.2243333,72.8658113
IN,"udyogamandal, eloor - kerala pcb",co,caaqm,µg/m³,580.0,2022-10-31 07:15:00+05:30,india,10.073232000000003,76.30276500000001
IN,"jayanagar 5th block, bengaluru - kspcb",o3,caaqm,µg/m³,31.28,2022-10-31 07:30:00+05:30,india,12.920984000000002,77.584908
IN,"bapuji nagar, bengaluru - kspcb",pm10,caaqm,µg/m³,170.0,2022-10-31 07:30:00+05:30,india,12.951913,77.539784
IN,"knowledge park - v, greater noida - uppcb",o3,caaqm,µg/m³,4.43,2022-10-31 07:30:00+05:30,india,28.557053999999997,77.453663
IN,"hebbal 1st stage, mysuru - kspcb",so2,caaqm,µg/m³,5.49,2020-01-03 16:45:00+05:30,india,12.3511441,76.6249171
IN,"gole bazar, katni - mppcb",no2,caaqm,µg/m³,34.0,2020-01-07 14:45:00+05:30,india,23.833778,80.39122199999998
IN,"drm office danapur, patna - bspcb",o3,caaqm,µg/m³,46.75,2022-10-16 21:30:00+05:30,india,25.586562,85.043586
IN,"pallavpuram phase 2, meerut - uppcb",pm2.5,caaqm,µg/m³,122.0,2022-10-16 21:30:00+05:30,india,29.063510000000004,77.709723
IN,"okhla phase-2, delhi - dpcc",o3,caaqm,µg/m³,6.7,2022-10-31 06:15:00+05:30,india,28.530785000000005,77.271255
IN,"anand vihar, hapur - uppcb",so2,caaqm,µg/m³,29.2,2022-10-31 07:30:00+05:30,india,28.725644999999997,77.74967500000001
IN,"wazirpur, delhi - dpcc",pm2.5,caaqm,µg/m³,210.0,2022-10-31 06:15:00+05:30,india,28.699793,77.165453
IN,"sri aurobindo marg, delhi - dpcc",so2,caaqm,µg/m³,3.8,2022-10-31 06:15:00+05:30,india,28.531345999999996,77.190156
IN,"mundka, delhi - dpcc",pm10,caaqm,µg/m³,313.0,2022-10-31 06:15:00+05:30,india,28.684678,77.076574
IN,"govt. high school shikarpur, patna - bspcb",o3,caaqm,µg/m³,26.13,2022-10-16 21:15:00+05:30,india,25.592539,85.22715800000002
